Program,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,CATTLE
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,8678.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,0.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14589.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,6893.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,0.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,0.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,17865.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,0.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,12824.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,22508.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,0.00
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,10812.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,11212.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,0.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,3734.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,6851.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,0.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,0.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,0.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,6884.00
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,0.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,21858.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,11417.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,0.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,0.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,32917.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,37068.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,8872.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,0.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,22875.00
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,0.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,9020.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,15552.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,16372.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,16607.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,0.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,9177.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,8754.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,15756.00
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,10607.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,7273.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,6944.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,15193.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,0.00
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,7260.00
