,Latitude,Longitude,"CORN, GRAIN - ACRES HARVESTED",BARLEY - ACRES HARVESTED,RICE - ACRES HARVESTED,"SUGARCANE, SUGAR - ACRES HARVESTED",WHEAT - ACRES HARVESTED,Crop-Scope1-MMT
0,32.52,-86.63,645.0,0.0,0.0,0.0,334.0,0.0
1,32.1,-85.71,1292.0,0.0,0.0,0.0,0.0,0.0
2,32.31,-87.1,13876.0,0.0,0.0,0.0,0.0,0.05
3,32.58,-86.13,2487.0,0.0,0.0,0.0,0.0,0.01
4,32.86,-87.99,34.0,0.0,0.0,0.0,0.0,0.0
5,32.74,-87.66,0.0,0.0,0.0,0.0,0.0,0.0
6,32.11,-86.64,1630.0,0.0,0.0,0.0,0.0,0.0
7,32.37,-85.67,0.0,0.0,0.0,0.0,0.0,0.0
8,32.2,-87.76,1800.0,0.0,0.0,0.0,761.0,0.01
9,32.37,-86.3,1051.0,0.0,0.0,0.0,0.0,0.0
10,32.64,-87.29,6683.0,0.0,0.0,0.0,0.0,0.03
11,32.52,-88.18,552.0,0.0,0.0,0.0,988.0,0.0
12,30.57,-87.73,6658.0,0.0,0.0,0.0,2172.0,0.03
13,32.09,-88.22,2882.0,0.0,0.0,0.0,0.0,0.01
14,31.99,-88.28,0.0,0.0,0.0,0.0,0.0,0.0
15,31.66,-87.82,85.0,0.0,0.0,0.0,0.0,0.0
16,31.4,-86.94,1367.0,0.0,0.0,0.0,0.0,0.0
17,31.12,-87.11,2614.0,0.0,0.0,0.0,327.0,0.01
18,30.69,-88.08,0.0,0.0,0.0,0.0,0.0,0.0
19,31.56,-87.38,1317.0,0.0,0.0,0.0,343.0,0.01
20,31.4,-88.2,832.0,0.0,0.0,0.0,0.0,0.0
21,31.95,-87.3,769.0,0.0,0.0,0.0,0.0,0.0
22,33.95,-86.57,301.0,0.0,0.0,0.0,0.0,0.0
23,33.75,-85.83,416.0,0.0,0.0,0.0,328.0,0.0
24,34.11,-85.6,4486.0,0.0,0.0,0.0,1152.0,0.02
25,33.65,-85.5,492.0,0.0,0.0,0.0,0.0,0.0
26,34.13,-86.88,4283.0,0.0,0.0,0.0,663.0,0.02
27,34.04,-86.02,1068.0,0.0,0.0,0.0,0.0,0.0
28,34.77,-85.99,19535.0,0.0,0.0,0.0,2935.0,0.09
29,34.34,-86.33,3966.0,0.0,0.0,0.0,0.0,0.02
30,32.53,-86.23,55.0,0.0,0.0,0.0,0.0,0.0
31,34.65,-87.79,22148.0,0.0,0.0,0.0,19814.0,0.12
32,34.44,-87.83,1101.0,0.0,0.0,0.0,580.0,0.01
33,34.9,-87.67,15885.0,0.0,0.0,0.0,7319.0,0.08
34,34.48,-87.3,22925.0,0.0,0.0,0.0,13349.0,0.12
35,34.83,-86.99,16886.0,270.0,0.0,0.0,24282.0,0.1
36,34.77,-86.57,25499.0,0.0,0.0,0.0,19052.0,0.13
37,34.11,-87.85,1197.0,0.0,0.0,0.0,0.0,0.0
38,34.43,-86.85,1920.0,0.0,0.0,0.0,872.0,0.01
39,34.13,-87.36,70.0,0.0,0.0,0.0,0.0,0.0
40,32.97,-87.12,827.0,0.0,0.0,0.0,0.0,0.0
41,32.89,-85.39,144.0,0.0,0.0,0.0,0.0,0.0
42,32.85,-86.7,486.0,0.0,0.0,0.0,191.0,0.0
43,33.72,-86.59,0.0,0.0,0.0,0.0,0.0,0.0
44,32.92,-86.23,22.0,0.0,0.0,0.0,0.0,0.0
45,33.73,-87.74,720.0,0.0,0.0,0.0,55.0,0.0
46,33.52,-86.92,114.0,0.0,0.0,0.0,0.0,0.0
47,33.75,-88.1,0.0,0.0,0.0,0.0,0.0,0.0
48,32.58,-85.31,210.0,0.0,0.0,0.0,0.0,0.0
49,33.29,-88.12,3058.0,0.0,0.0,0.0,0.0,0.02
50,33.27,-85.47,1262.0,0.0,0.0,0.0,0.0,0.0
51,33.25,-86.66,1386.0,0.0,0.0,0.0,578.0,0.01
52,33.4,-86.16,3257.0,0.0,0.0,0.0,0.0,0.02
53,32.86,-85.8,375.0,0.0,0.0,0.0,0.0,0.0
54,33.21,-87.57,1465.0,0.0,0.0,0.0,200.0,0.01
55,33.78,-87.28,522.0,0.0,0.0,0.0,0.0,0.0
56,31.86,-85.4,1065.0,0.0,0.0,0.0,342.0,0.0
57,31.36,-85.99,2317.0,0.0,0.0,0.0,0.0,0.01
58,31.2,-86.46,2246.0,0.0,0.0,0.0,323.0,0.01
59,31.68,-86.32,1481.0,0.0,0.0,0.0,0.0,0.01
60,31.39,-85.62,1925.0,0.0,0.0,0.0,529.0,0.01
61,31.09,-85.8,4009.0,0.0,0.0,0.0,264.0,0.02
62,31.48,-85.24,4819.0,0.0,0.0,0.0,463.0,0.02
63,31.14,-85.27,1762.0,0.0,0.0,0.0,0.0,0.01
64,31.76,-85.93,2140.0,0.0,0.0,0.0,0.0,0.01
65,32.27,-85.2,2012.0,0.0,0.0,0.0,0.0,0.01
66,35.18,-110.35,300.0,0.0,0.0,0.0,0.0,0.0
67,34.57,-112.55,139.0,0.0,0.0,0.0,0.0,0.0
68,31.85,-109.82,23292.0,1780.0,0.0,0.0,880.0,0.14
69,32.84,-109.87,5156.0,1459.0,0.0,0.0,1492.0,0.04
70,33.23,-109.28,0.0,0.0,0.0,0.0,0.0,0.0
71,34.23,-114.19,0.0,0.0,0.0,0.0,3805.0,0.0
72,33.35,-112.49,0.0,3579.0,0.0,0.0,14949.0,0.01
73,32.11,-111.65,0.0,102.0,0.0,0.0,4897.0,0.0
74,32.81,-111.44,1184.0,9073.0,0.0,0.0,25993.0,0.04
75,32.67,-114.48,0.0,307.0,0.0,0.0,50313.0,0.03
76,35.72,-113.83,0.0,0.0,0.0,0.0,2256.0,0.0
77,35.25,-92.69,2827.0,0.0,1605.0,0.0,2529.0,0.08
78,35.15,-92.32,1472.0,0.0,1076.0,0.0,0.0,0.05
79,34.96,-92.88,0.0,0.0,1254.0,0.0,0.0,0.0
80,34.76,-92.3,3839.0,0.0,3302.0,0.0,750.0,0.16
81,34.29,-91.36,46585.0,0.0,81070.0,0.0,4523.0,4.11
82,35.25,-90.32,12572.0,0.0,29061.0,0.0,8075.0,1.39
83,35.3,-90.78,13964.0,0.0,63845.0,0.0,4645.0,2.82
84,34.78,-90.78,31063.0,0.0,8196.0,0.0,5383.0,0.52
85,34.74,-91.86,33997.0,0.0,84573.0,0.0,3442.0,4.04
86,34.68,-91.23,26601.0,0.0,34240.0,0.0,6875.0,1.69
87,34.44,-90.83,34883.0,0.0,13116.0,0.0,9496.0,0.77
88,34.81,-91.58,15326.0,0.0,60003.0,0.0,1196.0,2.88
89,36.45,-90.14,15917.0,0.0,32642.0,0.0,2079.0,1.53
90,35.17,-91.22,17477.0,0.0,49375.0,0.0,4553.0,2.16
91,36.38,-91.81,450.0,0.0,0.0,0.0,0.0,0.0
92,36.08,-91.89,0.0,0.0,0.0,0.0,0.0,0.0
93,36.36,-90.41,26891.0,0.0,66042.0,0.0,2943.0,3.3
94,35.83,-90.64,33408.0,0.0,47477.0,0.0,4372.0,2.25
95,36.09,-90.58,24635.0,0.0,74536.0,0.0,2209.0,3.58
96,35.72,-91.55,4748.0,0.0,6771.0,0.0,860.0,0.33
97,35.58,-91.2,10965.0,0.0,74179.0,0.0,6113.0,3.15
98,36.01,-91.17,6931.0,0.0,80652.0,0.0,406.0,3.41
99,35.75,-90.09,17558.0,0.0,51935.0,0.0,9887.0,2.59
100,35.57,-90.67,18436.0,0.0,79770.0,0.0,4740.0,3.67
101,36.34,-91.04,4361.0,0.0,25377.0,0.0,0.0,1.11
102,35.25,-91.72,4552.0,0.0,10857.0,0.0,1323.0,0.47
103,36.35,-94.27,407.0,0.0,0.0,0.0,615.0,0.0
