Program,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,CATTLE
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,8678
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,0
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14589
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,6893
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,0
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,0
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,17865
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,0
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,12824
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,22508
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,0
CENSUS,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,10812
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,11212
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,0
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,3734
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,6851
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,0
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,0
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,0
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,6884
CENSUS,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,0
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,21858
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,11417
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,0
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,0
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,32917
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,37068
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,8872
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,0
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,22875
CENSUS,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,0
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,9020
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,15552
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,16372
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,16607
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,0
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,9177
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,8754
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,15756
CENSUS,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,10607
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,7273
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,6944
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,15193
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,0
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,7260
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,4295
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,5990
CENSUS,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,6168
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,15005
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,12081
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,0
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,14067
CENSUS,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,0
CENSUS,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,238
CENSUS,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,0
CENSUS,COUNTY,ALASKA,2,SOUTHEAST,40,JUNEAU,,0
CENSUS,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,0
CENSUS,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,652
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,APACHE,1,0
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,27562
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,8743
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,0
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,19836
CENSUS,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,31882
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,0
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,8599
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,6040
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,0
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,3034
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,11425
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,9071
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,0
CENSUS,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,127
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,0
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,19549
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,GARLAND,51,4011
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,GRANT,53,4726
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,8799
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,8962
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,2640
CENSUS,COUNTY,ARKANSAS,5,CENTRAL,50,SALINE,125,0
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,1445
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,336
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,1341
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77,575
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,6327
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,229
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,895
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,1415
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,1047
CENSUS,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,358
CENSUS,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,9577
CENSUS,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,13264
CENSUS,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,0
CENSUS,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,18847
CENSUS,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,MARION,89,0
