,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm_x,CO2,N2O
0,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,9261,645,0,148.0,1639.220033,9923.611451
1,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148.0,4270.154224,44321.79154
5,COUNTY,MISSOURI,29,CENTRAL,50,DALLAS,59,0,1369,95,107.1,196.4145207,209.471262
9,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,0,0,0,73.4,0.0,0.0
13,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,0,135452,0,86.4,17495.99433,2030900.793
17,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,13795,2487,0,148.0,2651.127824,22593.7503
19,COUNTY,IDAHO,16,SOUTHWEST,70,ELMORE,39,0,15296,0,48.1,1975.745867,25916.67917
21,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,4046,1630,0,148.0,901.1095043,2184.483787
24,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,LOWNDES,185,2110,925,0,128.7,480.2133415,610.8332146
27,COUNTY,MISSISSIPPI,28,EAST CENTRAL,60,LOWNDES,87,13325,8675,0,149.9,3421.343939,28780.32019
30,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,12376,0,0,148.0,2072.333953,17632.69941
36,COUNTY,GEORGIA,13,WEST CENTRAL,40,MACON,193,18178,3794,0,128.7,3564.355657,39627.72329
42,COUNTY,MISSOURI,29,NORTH CENTRAL,20,MACON,121,0,49475,0,107.1,6787.354197,270992.4089
48,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,MACON,113,0,26,0,127.9,3.566876385,0.109769666
54,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MACON,111,0,4512,0,137.6,618.9902403,2259.354987
60,COUNTY,ILLINOIS,17,CENTRAL,40,MACON,115,0,129044,0,99.6,16668.28908,1843297.49
66,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,3656,1800,0,148.0,859.1267469,1903.252211
67,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,4701,1051,0,148.0,931.3562189,2671.71792
84,COUNTY,GEORGIA,13,CENTRAL,50,MONTGOMERY,209,7975,0,0,128.7,1335.396193,7325.641087
101,COUNTY,KANSAS,20,SOUTHEAST,90,MONTGOMERY,125,0,44071,724,73.3,5754.721558,215041.3544
118,COUNTY,MISSISSIPPI,28,CENTRAL,50,MONTGOMERY,97,4967,2661,0,149.9,1196.769294,3631.492035
135,COUNTY,MISSOURI,29,EAST,60,MONTGOMERY,139,0,41447,697,107.1,5749.144288,190196.5739
152,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,MONTGOMERY,123,262,735,0,127.9,144.7041748,69.0285591
169,COUNTY,TENNESSEE,47,WESTERN RIM,30,MONTGOMERY,125,0,13365,0,137.6,1833.511649,19788.42846
186,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,MONTGOMERY,339,0,21,0,73.4,2.712517208,0.077038453
203,COUNTY,VIRGINIA,51,SOUTHWESTERN,70,MONTGOMERY,121,0,1015,0,112.5,139.2453666,115.3921984
220,COUNTY,ILLINOIS,17,WEST SOUTHWEST,60,MONTGOMERY,135,0,187192,0,99.6,24179.12006,3878659.652
237,COUNTY,INDIANA,18,WEST CENTRAL,40,MONTGOMERY,107,0,114218,0,106.0,15669.28796,1444089.818
254,COUNTY,IOWA,19,SOUTHWEST,70,MONTGOMERY,137,0,92756,0,86.4,11981.05934,952400.9291
271,COUNTY,KENTUCKY,21,BLUEGRASS,50,MONTGOMERY,173,0,1295,0,124.2,177.6578815,187.3580006
288,COUNTY,MARYLAND,24,NORTH CENTRAL,20,MONTGOMERY,31,0,11977,0,113.1,1643.095325,15893.33975
305,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,0,7365,0,106.2,1010.38633,6013.675102
322,COUNTY,OHIO,39,SOUTHWEST,70,MONTGOMERY,113,0,35568,0,99.3,4594.229146,140070.3068
339,COUNTY,PENNSYLVANIA,42,SOUTHEASTERN,90,MONTGOMERY,91,0,3597,0,108.9,493.463629,1436.890315
356,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,2655,6683,0,148.0,1361.398323,5766.63943
366,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,0,0,0,128.4,0.0,0.0
376,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,PERRY,111,0,247,0,149.9,33.88532565,7.084637024
386,COUNTY,MISSOURI,29,EAST,60,PERRY,157,0,26333,172,107.1,3628.138985,76786.06157
396,COUNTY,TENNESSEE,47,WESTERN RIM,30,PERRY,135,0,2398,0,137.6,328.9757527,639.6923541
406,COUNTY,ILLINOIS,17,SOUTHWEST,80,PERRY,145,0,39635,474,99.6,5160.263154,173932.0331
416,COUNTY,INDIANA,18,SOUTH CENTRAL,80,PERRY,123,0,8230,0,106.0,1129.053563,7507.908652
426,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,PERRY,193,0,0,0,124.2,0.0,0.0
436,COUNTY,OHIO,39,SOUTHEAST,90,PERRY,127,0,17325,0,99.3,2237.826697,33245.26026
446,COUNTY,PENNSYLVANIA,42,CENTRAL,50,PERRY,99,0,16558,0,108.9,2271.551507,30367.78379
456,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,0,552,0,148.0,75.72752939,34.4673774
459,COUNTY,GEORGIA,13,SOUTHWEST,70,SUMTER,261,28269,8245,0,128.7,5864.693191,99484.63475
462,COUNTY,SOUTH CAROLINA,45,CENTRAL,50,SUMTER,85,8063,28763,966,126.4,5383.554019,99103.68031
465,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,12243,6658,0,148.0,2963.458126,22171.31896
467,COUNTY,GEORGIA,13,CENTRAL,50,BALDWIN,9,0,0,0,128.7,0.0,0.0
469,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0,0,0,148.0,0.0,0.0
472,COUNTY,MISSISSIPPI,28,CENTRAL,50,CHOCTAW,19,0,923,0,149.9,126.6241117,95.53428952
475,COUNTY,OKLAHOMA,40,SOUTHEAST,90,CHOCTAW,23,0,1285,0,92.7,165.9802196,184.4889506
478,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,0,85,0,148.0,11.66094203,0.913935068
483,COUNTY,GEORGIA,13,NORTH CENTRAL,20,CLARKE,59,0,0,0,128.7,0.0,0.0
488,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,CLARKE,23,0,46,0,149.9,6.31062745,0.296035763
493,COUNTY,VIRGINIA,51,NORTHERN,20,CLARKE,43,0,2533,0,112.5,347.4960724,713.5534912
498,COUNTY,IOWA,19,SOUTH CENTRAL,80,CLARKE,39,0,19936,0,86.4,2575.083003,44016.9003
503,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,11328,1367,0,148.0,2084.384046,14982.82147
504,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,19612,2614,0,148.0,3642.594487,45023.81839
506,COUNTY,FLORIDA,12,NORTHWEST,10,ESCAMBIA,33,11520,409,0,138.5,1985.108347,15298.0182
508,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,7962,0,0,148.0,1333.219371,7301.795031
