,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm,Latitude,Longitude,CO2,N2O
0,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,9261,645,0,148,32.5165255,-86.6319403,1639.220033,9923.611451
1,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148,32.3117968,-87.1046643,4270.154224,44321.79154
2,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,13795,2487,0,148,32.5801231,-86.125195,2651.127824,22593.7503
3,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,4046,1630,0,148,32.1088066,-86.6402541,901.1095043,2184.483787
4,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,12376,0,0,148,32.366606,-85.6660307,2072.333953,17632.69941
5,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,3656,1800,0,148,32.201002,-87.7569365,859.1267469,1903.252211
6,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,4701,1051,0,148,32.3669656,-86.3006485,931.3562189,2671.71792
7,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,2655,6683,0,148,32.6421387,-87.2876639,1361.398323,5766.63943
8,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,0,552,0,148,32.5234698,-88.1837986,75.72752939,34.4673774
9,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,12243,6658,0,148,30.5677527,-87.7324392,2963.458126,22171.31896
10,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0,0,0,148,31.9908095,-88.2821326,0,0
11,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,0,85,0,148,31.659134,-87.8192486,11.66094203,0.913935068
12,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,11328,1367,0,148,31.3966783,-86.9437104,2084.384046,14982.82147
13,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,19612,2614,0,148,31.1168422,-87.1070947,3642.594487,45023.81839
14,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,7962,0,0,148,30.6867339,-88.0848929,1333.219371,7301.795031
15,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,16673,1317,0,148,31.5593935,-87.3781004,2972.533151,32188.59894
16,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,3800,832,0,148,31.3991238,-88.2019828,750.4416784,1743.636122
17,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,0,769,0,148,31.9523021,-87.3005169,105.4972285,66.48697244
18,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,2494,301,0,148,33.9510169,-86.5702002,458.9082628,729.1721058
19,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,5804,416,0,148,33.7514505,-85.8315666,1028.937044,3901.902757
20,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,29034,4486,0,148,34.1142554,-85.6004514,5477.102744,99225.62484
21,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,0,4283,0,148,34.1335332,-86.8779268,587.5742906,2036.126547
22,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,2075,1068,0,148,34.0371404,-86.022147,493.9704886,625.6762027
23,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,3815,19535,0,148,34.7692447,-85.9867941,3318.772204,43943.55135
24,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,0,3966,0,148,34.3396046,-86.3301801,544.0858362,1746.273145
25,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,5199,22148,0,148,34.6473396,-87.7921769,3908.991033,57439.03899
