Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47, 
COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51, 
COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87, 
COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91, 
COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101, 
COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119, 
COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53, 
COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97, 
COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71, 
COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77, 
COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79, 
COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,276
COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103, 
COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21, 
COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75, 
COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81, 
COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5, 
COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39, 
COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45, 
COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61, 
COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67, 
COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,85
COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25, 
COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3, 
COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,228
COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,982
COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,"1,156"
COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,256
COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45, 
COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1, 
COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,842
COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,826
COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77, 
COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85, 
COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,"1,696"
COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107, 
COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117, 
